Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-26,Washington Wizards,,Bradley Beal,placed on IL with stress injury in right fibula,59.0,0.0,regular,2013,14.0,False,fibula,lower leg
2013-11-26,Golden State Warriors,,Ognjen Kuzmic,placed on IL with fractured right hand,50.0,0.0,regular,2013,15.0,False,hand,hand
2013-11-26,Toronto Raptors,,Austin Daye,placed on IL,64.0,0.0,regular,2013,14.0,False,roaster move,healthy inactive
2013-11-26,Orlando Magic,,Tobias Harris,placed on IL with left ankle injury,59.0,0.0,regular,2013,14.0,False,ankle,lower leg
2013-11-27,Oklahoma City Thunder,,Ryan Gomes,placed on IL,66.0,0.0,regular,2013,13.0,False,roaster move,healthy inactive
2013-11-27,San Antonio Spurs,,Nando De,placed on IL,66.0,0.0,regular,2013,15.0,False,roaster move,healthy inactive
2013-11-27,Miami Heat,,Shane Battier,placed on IL,66.0,0.0,regular,2013,15.0,False,roaster move,healthy inactive
2013-11-27,Atlanta Hawks,,Louis Williams,placed on IL,65.0,0.0,regular,2013,16.0,False,roaster move,healthy inactive
2013-11-29,Nets,,Jason Terry,placed on IL with bruised left knee,,,,,,,knee,knee
2013-11-29,San Antonio Spurs,,Tony Parker,placed on IL with sprained ankle,65.0,0.0,regular,2013,16.0,False,ankle,lower leg
2013-11-29,Toronto Raptors,,Aaron Gray,placed on IL (P),65.0,0.0,regular,2013,15.0,False,roaster move,healthy inactive
2013-11-29,New Orleans Pelicans,,Jeff Withey,placed on IL,65.0,0.0,regular,2013,15.0,False,roaster move,healthy inactive
2013-11-29,Cleveland Cavaliers,,Will Bynum,placed on IL with strained left hip,58.0,0.0,regular,2013,16.0,False,hip,upper leg
2013-11-29,Utah Jazz,,Mike Harris,placed on IL,62.0,0.0,regular,2013,17.0,False,roaster move,healthy inactive
2013-11-29,Utah Jazz,,Ian Clark,placed on IL,62.0,0.0,regular,2013,17.0,False,roaster move,healthy inactive
2013-11-29,Miami Heat,,Roger Mason,placed on IL (P),64.0,0.0,regular,2013,16.0,False,roaster move,healthy inactive
2013-11-29,Atlanta Hawks,,Kyle Korver,placed on IL with bruised ribs,62.0,0.0,regular,2013,17.0,False,ribs,torso
2013-11-29,Charlotte Bobcats,,Michael Kidd-Gilchrist,placed on IL with foot injury,64.0,0.0,regular,2013,17.0,False,foot,foot
2013-11-30,Phoenix Suns,,Alex Len,placed on IL with left ankle injury,49.0,0.0,regular,2013,17.0,False,ankle,lower leg
2013-11-30,San Antonio Spurs,,Nando De,placed on IL,57.0,0.0,regular,2013,17.0,False,roaster move,healthy inactive
