Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-11-25,Boston Celtics,Keith Bogans,illness (DNP),1.0,0.0,regular,2013,16,,sick,sick
2013-11-25,Chicago Bulls,Derrick Rose,surgery on right knee to repair torn meniscus (out for season),1.0,0.0,regular,2013,13,,knee,knee
2013-11-25,Boston Celtics,Kelly Olynyk,sprained right ankle (DNP),1.0,0.0,regular,2013,16,,ankle,lower leg
2013-11-26,Los Angeles Lakers,Chris Kaman,sore back (DNP),1.0,0.0,regular,2013,15,,back,torso
2013-11-26,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-26,Nets,Jason Terry,bruised left knee (DNP),0.0,0.0,off,,,,knee,knee
2013-11-26,Washington Wizards,Al Harrington,sore right knee (DNP),1.0,0.0,regular,2013,14,,knee,knee
2013-11-27,Atlanta Hawks,Shelvin Mack,sprained left ankle (DNP),1.0,0.0,regular,2013,16,,ankle,lower leg
2013-11-27,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,16,,knee,knee
2013-11-27,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-27,Los Angeles Lakers,Chris Kaman,sore back (DNP),1.0,0.0,regular,2013,16,,back,torso
2013-11-27,Atlanta Hawks,Kyle Korver,bruised ribs (DNP),1.0,0.0,regular,2013,16,,ribs,torso
