Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2019-03-15,New York Knicks,Dennis Smith,placed on IL with sore lower back,,,regular,2018.0,69,,back,torso,,7.0,0.0,False,Unknown,,,,,,,
2019-03-15,Los Angeles Lakers,LeBron James,placed on IL,,,regular,2018.0,69,,roaster move,healthy inactive,,12.0,0.0,False,SF,34.0,55.0,55.0,35.2,578.0,1936.0,21856.2
2019-03-15,New York Knicks,Mario Hezonja,placed on IL with bruised left leg,,,,,-1,,leg,leg,,,,,Unknown,,,,,,,
2019-03-15,Portland Trailblazers,Maurice Harkless,placed on IL with left knee injury,,,,,-1,,knee,knee,,,,,Unknown,,,,,,,
2019-03-15,Charlotte Hornets,Shelvin Mack,placed on IL,,,regular,2018.0,68,,roaster move,healthy inactive,,12.0,0.0,False,PG,28.0,57.0,3.0,21.9,365.0,1248.3,6755.5
2019-03-15,Charlotte Hornets,Cody Zeller,placed on IL with sore left knee (out for season),,,regular,2018.0,68,,knee,knee,,61.0,0.0,False,C,26.0,49.0,47.0,25.4,323.0,1244.6,7221.5
2019-03-15,Portland Trailblazers,Gary Trent,placed on IL,,,,,-1,,roaster move,healthy inactive,,,,,Unknown,,,,,,,
2019-03-15,Philadelphia 76ers,Zhaire Smith,placed on IL,,,regular,2018.0,69,,roaster move,healthy inactive,,13.0,6.0,False,SG,19.0,6.0,2.0,18.5,0.0,111.0,0.0
2019-03-16,Nets,Allen Crabbe,placed on IL with sore right knee (out for season),,,,,-1,,knee,knee,,,,,Unknown,,,,,,,
2019-03-16,Nets,Shabazz Napier,placed on IL with right hamstring injury,,,,,-1,,hamstring,upper leg,,,,,Unknown,,,,,,,
2019-03-16,Nets,,activated from IL,,,off,,-1,,returned to lineup,,,0.0,0.0,True,Unknown,,,,,,,
2019-03-16,Dallas Mavericks,Luka Doncic,placed on IL with bruised right knee,,,regular,2018.0,69,,knee,knee,,12.0,0.0,False,SG,19.0,72.0,72.0,32.2,0.0,2318.4,0.0
2019-03-16,Utah Jazz,Thabo Sefolosha,placed on IL with left hamstring injury,,,regular,2018.0,69,,hamstring,upper leg,,12.0,0.0,False,SF,34.0,50.0,2.0,12.2,409.0,610.0,9693.100000000002
