Date,Team,Acquired,Relinquished,Notes
2013-12-23,Miami Heat,,Dwyane Wade,placed on IL with sore knee
2013-12-23,Atlanta Hawks,Gustavo Ayon,,activated from IL
2013-12-23,Atlanta Hawks,,Cartier Martin,placed on IL with sprained left ankle
2013-12-23,Cleveland Cavaliers,Anthony Bennett,,activated from IL
2013-12-23,Cleveland Cavaliers,,Henry Sims,placed on IL
2013-12-23,Miami Heat,Michael Beasley,,activated from IL
2013-12-25,San Antonio Spurs,Cory Joseph,,activated from IL
2013-12-25,New York Knicks,,Raymond Felton,placed on IL with strained left hamstring
2013-12-25,New York Knicks,Kenyon Martin,,activated from IL
2013-12-25,Miami Heat,,Roger Mason,placed on IL
2013-12-25,Miami Heat,Dwyane Wade,,activated from IL
2013-12-26,Cleveland Cavaliers,,Carrick Felix,placed on IL
2013-12-26,Cleveland Cavaliers,Dion Waiters,,activated from IL
2013-12-26,Atlanta Hawks,,John Jenkins,placed on IL with leg injury
2013-12-26,Atlanta Hawks,Cartier Martin,,activated from IL
2013-12-27,New Orleans Pelicans,Jason Smith,,activated from IL
2013-12-27,Oklahoma City Thunder,,Russell Westbrook,placed on IL recovering from arthroscopic surgery on right knee
2013-12-27,Oklahoma City Thunder,Ryan Gomes,,activated from IL
2013-12-27,New Orleans Pelicans,,Eric Gordon,placed on IL with bruised right hip
2013-12-27,Miami Heat,,Dwyane Wade,placed on IL with sore knee
2013-12-27,Milwaukee Bucks,Larry Sanders,,activated from IL
2013-12-27,Milwaukee Bucks,,Zaur Pachulia,placed on IL with fractured right foot
2013-12-27,Miami Heat,Roger Mason,,activated from IL
2013-12-28,Miami Heat,Dwyane Wade,,activated from IL
2013-12-28,Cleveland Cavaliers,Carrick Felix,,activated from IL
2013-12-28,Cleveland Cavaliers,Henry Sims,,activated from IL
2013-12-28,Atlanta Hawks,,Al Horford,placed on IL with torn right pectoral muscle (out for season)
2013-12-28,Miami Heat,,LeBron James,placed on IL with strained right groin
2013-12-28,Golden State Warriors,Ognjen Kuzmic,,activated from IL
2013-12-29,Orlando Magic,,Solomon Jones,placed on IL
2013-12-29,Orlando Magic,ETwaun Moore,,activated from IL
2013-12-29,Golden State Warriors,,Nemanja Nedovic,placed on IL with strained left hamstring
2013-12-30,Miami Heat,LeBron James,,activated from IL
2013-12-30,New Orleans Pelicans,,Jason Smith,placed on IL with bone bruise in right knee
2013-12-30,Miami Heat,,Chris Andersen,placed on IL with back injury
2013-12-30,New Orleans Pelicans,Greg Stiemsma,,activated from IL
2013-12-31,Nets,Andrei Kirilenko,,activated from IL
2013-12-31,Cleveland Cavaliers,,Carrick Felix,placed on IL
2014-01-01,Los Angeles Clippers,,Reggie Bullock,placed on IL
2014-01-01,Los Angeles Clippers,Maalik Wayns,,activated from IL
2014-01-01,New Orleans Pelicans,Eric Gordon,,activated from IL
2014-01-01,Portland Trailblazers,CJ McCollum,,activated from IL
2014-01-02,Cleveland Cavaliers,,Kyrie Irving,placed on IL with bruised left knee
2014-01-02,Cleveland Cavaliers,Carrick Felix,,activated from IL
2014-01-02,Miami Heat,,James Jones,placed on IL
2014-01-02,Miami Heat,Chris Andersen,,activated from IL
2014-01-02,Orlando Magic,,Solomon Jones,placed on IL with sprained left ankle
2014-01-02,Orlando Magic,Solomon Jones,,activated from IL
2014-01-03,Toronto Raptors,,Dwight Buycks,placed on IL
2014-01-03,Toronto Raptors,Austin Daye,,activated from IL
2014-01-03,Toronto Raptors,Julyan Stone,,activated from IL
2014-01-03,Atlanta Hawks,,Jared Cunningham,placed on IL
2014-01-03,Boston Celtics,,MarShon Brooks,placed on IL
2014-01-03,Toronto Raptors,,Tyler Hansbrough,placed on IL with sprained left ankle
2014-01-04,San Antonio Spurs,,Boris Diaw,placed on IL with strep throat
2014-01-04,New Orleans Pelicans,,Ryan Anderson,placed on IL with concussion / herniated disc in neck (out for season)
2014-01-04,Miami Heat,,Shane Battier,placed on IL with sore quadriceps
2014-01-04,Miami Heat,James Jones,,activated from IL
2014-01-04,Nets,,Kevin Garnett,placed on IL for rest
2014-01-06,Los Angeles Clippers,,Chris Paul,placed on IL with separated right shoulder
2014-01-06,Los Angeles Clippers,Reggie Bullock,,activated from IL
2014-01-06,Orlando Magic,Nikola Vucevic,,activated from IL (P)
2014-01-06,Nets,Kevin Garnett,,activated from IL
2014-01-06,Minnesota Timberwolves,,Shabazz Muhammad,placed on IL
2014-01-06,Minnesota Timberwolves,Ronny Turiaf,,activated from IL
2014-01-06,Nets,,Tornike Shengelia,placed on IL
2014-01-06,Philadelphia 76ers,Lorenzo Brown,,activated from IL
2014-01-07,Phoenix Suns,Alex Len,,activated from IL
2014-01-07,Phoenix Suns,,Eric Bledsoe,placed on IL with sprained right knee
2014-01-07,San Antonio Spurs,Boris Diaw,,activated from IL
2014-01-07,San Antonio Spurs,,Nando De,placed on IL
2014-01-07,New Orleans Pelicans,Jason Smith,,activated from IL
2014-01-07,New York Knicks,Raymond Felton,,activated from IL
2014-01-07,Utah Jazz,,Rudy Gobert,placed on IL
2014-01-07,Cleveland Cavaliers,Kyrie Irving,,activated from IL
2014-01-07,Cleveland Cavaliers,,Jarrett Jack,placed on IL with back spasms
2014-01-07,Portland Trailblazers,CJ McCollum,,activated from IL
2014-01-07,Portland Trailblazers,,Allen Crabbe,placed on IL
2014-01-07,New York Knicks,,Metta World,placed on IL with sore left knee
2014-01-08,Minnesota Timberwolves,Chase Budinger,,activated from IL
2014-01-08,Dallas Mavericks,,Shawn Marion,placed on IL with bruised right shoulder
2014-01-08,Dallas Mavericks,Ricky Ledo,,activated from IL
2014-01-08,Indiana Pacers,,Lance Stephenson,placed on IL with bruised right knee
2014-01-08,Indiana Pacers,Solomon Hill,,activated from IL
2014-01-08,Minnesota Timberwolves,,Luc Richard,placed on IL with strained left groin
2014-01-10,Indiana Pacers,Lance Stephenson,,activated from IL
2014-01-10,Los Angeles Clippers,,Reggie Bullock,placed on IL
2014-01-10,Minnesota Timberwolves,Luc Richard,,activated from IL
2014-01-10,Minnesota Timberwolves,,Robbie Hummel,placed on IL
2014-01-10,Indiana Pacers,,Solomon Hill,placed on IL
2014-01-10,Cleveland Cavaliers,,Henry Sims,placed on IL
2014-01-10,Cleveland Cavaliers,Jarrett Jack,,activated from IL
2014-01-10,Los Angeles Clippers,JJ Redick,,activated from IL
2014-01-10,Cleveland Cavaliers,,Carrick Felix,placed on IL
2014-01-11,Nets,,Deron Williams,placed on IL with sprained left ankle
2014-01-11,Nets,Tornike Shengelia,,activated from IL
2014-01-11,Oklahoma City Thunder,,Andre Roberson,placed on IL
2014-01-12,San Antonio Spurs,,Tiago Splitter,placed on IL with sprained right shoulder
2014-01-12,San Antonio Spurs,Nando De,,activated from IL
2014-01-13,Boston Celtics,MarShon Brooks,,activated from IL
2014-01-13,Utah Jazz,,Gordon Hayward,placed on IL with strained left hip flexor
2014-01-13,Utah Jazz,Rudy Gobert,,activated from IL
2014-01-13,Dallas Mavericks,,Shane Larkin,placed on IL with sprained right ankle
2014-01-13,Dallas Mavericks,Shawn Marion,,activated from IL
2014-01-14,Memphis Grizzlies,Marc Gasol,,activated from IL
2014-01-14,Oklahoma City Thunder,Andre Roberson,,activated from IL
2014-01-14,Charlotte Bobcats,,Jeffery Taylor,placed on IL with torn right Achilles tendon (out for season)
2014-01-14,Charlotte Bobcats,Michael Kidd-Gilchrist,,activated from IL
2014-01-15,Minnesota Timberwolves,,AJ Price,placed on IL
2014-01-15,San Antonio Spurs,,Danny Green,placed on IL with fractured left index finger
2014-01-15,Toronto Raptors,Dwight Buycks,,activated from IL
2014-01-15,Toronto Raptors,,Austin Daye,placed on IL
2014-01-15,Dallas Mavericks,Shane Larkin,,activated from IL
2014-01-15,Dallas Mavericks,,Gal Mekel,placed on IL with bruised knee
2014-01-15,Miami Heat,Shane Battier,,activated from IL
2014-01-15,Miami Heat,,Mario Chalmers,placed on IL with strained right Achilles
2014-01-15,Miami Heat,,Chris Andersen,placed on IL with body soreness / knee injury
2014-01-15,Los Angeles Clippers,Reggie Bullock,,activated from IL
2014-01-15,Los Angeles Clippers,,Maalik Wayns,placed on IL
2014-01-15,Cleveland Cavaliers,Henry Sims,,activated from IL
2014-01-15,Cleveland Cavaliers,,Sergey Karasev,placed on IL
2014-01-15,Miami Heat,Greg Oden,,activated from IL
2014-01-17,Minnesota Timberwolves,,Gorgui Dieng,placed on IL
2014-01-17,Minnesota Timberwolves,AJ Price,,activated from IL
2014-01-17,Oklahoma City Thunder,,Andre Roberson,placed on IL
2014-01-17,Boston Celtics,Rajon Rondo,,activated from IL
2014-01-17,Miami Heat,,Toney Douglas,placed on IL
2014-01-17,Los Angeles Clippers,,Byron Mullens,placed on IL
2014-01-17,Miami Heat,Mario Chalmers,,activated from IL
2014-01-18,Los Angeles Clippers,,Reggie Bullock,placed on IL
2014-01-18,Los Angeles Clippers,Byron Mullens,,activated from IL
2014-01-18,Dallas Mavericks,Devin Harris,,activated from IL
2014-01-18,Detroit Pistons,,Chauncey Billups,placed on IL
2014-01-18,Houston Rockets,,Francisco Garcia,placed on IL with left knee tendinitis
2014-01-18,Minnesota Timberwolves,,AJ Price,placed on IL
2014-01-18,Minnesota Timberwolves,Gorgui Dieng,,activated from IL
2014-01-18,Dallas Mavericks,,Ricky Ledo,placed on IL
2014-01-18,Houston Rockets,Robert Covington,,activated from IL
2014-01-19,Toronto Raptors,John Salmons,,activated from IL
2014-01-19,Houston Rockets,Patrick Beverley,,activated from IL
2014-01-19,Toronto Raptors,,Austin Daye,placed on IL (P)
2014-01-19,Sacramento Kings,,Ray McCallum,placed on IL
2014-01-19,Sacramento Kings,Carl Landry,,activated from IL
2014-01-20,Miami Heat,,Dwyane Wade,placed on IL with sore knees
2014-01-20,Miami Heat,Chris Andersen,,activated from IL
2014-01-20,New York Knicks,Pablo Prigioni,,activated from IL
2014-01-20,Nets,,Tornike Shengelia,placed on IL
2014-01-20,Nets,Deron Williams,,activated from IL
2014-01-20,Houston Rockets,,Omer Asik,placed on IL with bruised right thigh
2014-01-20,Washington Wizards,Glen Rice,,activated from IL
2014-01-21,Utah Jazz,,Derrick Favors,placed on IL with hip injury
2014-01-21,Utah Jazz,Gordon Hayward,,activated from IL
2014-01-21,Sacramento Kings,Ray McCallum,,activated from IL
2014-01-22,Indiana Pacers,Solomon Hill,,activated from IL
2014-01-22,Houston Rockets,,Isaiah Canaan,placed on IL
2014-01-22,Indiana Pacers,,Orlando Johnson,placed on IL
2014-01-22,Dallas Mavericks,Ricky Ledo,,activated from IL
2014-01-22,Houston Rockets,Francisco Garcia,,activated from IL
2014-01-22,Dallas Mavericks,,Dirk Nowitzki,placed on IL for rest
2014-01-22,Boston Celtics,,Jerryd Bayless,placed on IL
2014-01-22,New York Knicks,,Kenyon Martin,placed on IL with sprained left ankle
2014-01-22,Chicago Bulls,,Kirk Hinrich,placed on IL with right hamstring injury
2014-01-22,New York Knicks,Pablo Prigioni,,activated from IL (P)
2014-01-22,Los Angeles Clippers,Reggie Bullock,,activated from IL
2014-01-22,Los Angeles Clippers,,Willie Green,placed on IL
2014-01-24,San Antonio Spurs,,Kawhi Leonard,placed on IL with fractured right hand
2014-01-24,Minnesota Timberwolves,AJ Price,,activated from IL
2014-01-24,Minnesota Timberwolves,,Gorgui Dieng,placed on IL
2014-01-24,Phoenix Suns,,Archie Goodwin,placed on IL
2014-01-24,Indiana Pacers,,Solomon Hill,placed on IL
2014-01-24,Dallas Mavericks,Dirk Nowitzki,,activated from IL
2014-01-24,Dallas Mavericks,,Ricky Ledo,placed on IL
2014-01-24,Indiana Pacers,Orlando Johnson,,activated from IL
2014-01-24,New York Knicks,,Andrea Bargnani,placed on IL with torn ligament in left elbow (out for season)
2014-01-24,Sacramento Kings,,Rudy Gay,placed on IL with Achilles injury
2014-01-24,Sacramento Kings,,DeMarcus Cousins,placed on IL with ankle injury
2014-01-24,Los Angeles Clippers,Byron Mullens,,activated from IL (P)
2014-01-24,Los Angeles Clippers,,Willie Green,placed on IL (P)
2014-01-24,Boston Celtics,,Avery Bradley,placed on IL
2014-01-24,New York Knicks,Metta World,,activated from IL
2014-01-25,Atlanta Hawks,,Pero Antic,placed on IL with stress fracture in right ankle
2014-01-25,Utah Jazz,,Ian Clark,placed on IL
2014-01-25,Utah Jazz,Derrick Favors,,activated from IL
2014-01-25,Minnesota Timberwolves,,Shabazz Muhammad,placed on IL
2014-01-25,Minnesota Timberwolves,Gorgui Dieng,,activated from IL
2014-01-25,Atlanta Hawks,Jared Cunningham,,activated from IL
2014-01-26,Miami Heat,,James Jones,placed on IL
2014-01-26,Miami Heat,Dwyane Wade,,activated from IL
2014-01-27,Oklahoma City Thunder,,Andre Roberson,placed on IL
2014-01-27,Minnesota Timberwolves,Shabazz Muhammad,,activated from IL
2014-01-27,Minnesota Timberwolves,,AJ Price,placed on IL
2014-01-27,Los Angeles Clippers,Byron Mullens,,activated from IL (P)
2014-01-28,Cleveland Cavaliers,,Anderson Varejao,placed on IL with bruised left knee
2014-01-28,Boston Celtics,Jerryd Bayless,,activated from IL
2014-01-28,New York Knicks,,Amare Stoudemire,placed on IL with sprained left ankle
2014-01-28,New York Knicks,Kenyon Martin,,activated from IL
2014-01-29,Minnesota Timberwolves,,Nikola Pekovic,placed on IL with bursitis in right ankle
2014-01-29,Minnesota Timberwolves,AJ Price,,activated from IL
2014-01-29,San Antonio Spurs,,Emanuel Ginobili,placed on IL with strained left hamstring
2014-01-29,Toronto Raptors,,DeMar DeRozan,placed on IL with sprained left ankle/foot
2014-01-29,Toronto Raptors,Tyler Hansbrough,,activated from IL
2014-01-29,Miami Heat,Toney Douglas,,activated from IL
2014-01-29,Miami Heat,,Roger Mason,placed on IL
2014-01-29,Chicago Bulls,Kirk Hinrich,,activated from IL
2014-01-29,Sacramento Kings,Rudy Gay,,activated from IL
2014-01-31,Toronto Raptors,DeMar DeRozan,,activated from IL
2014-01-31,Boston Celtics,Avery Bradley,,activated from IL
2014-01-31,Utah Jazz,,Derrick Favors,placed on IL with strained hip
2014-01-31,Utah Jazz,,Marvin Williams,placed on IL with sore right Achilles / heel
2014-01-31,Utah Jazz,Ian Clark,,activated from IL
2014-01-31,Dallas Mavericks,,Shawn Marion,placed on IL with bruised right shoulder
2014-01-31,Toronto Raptors,,Dwight Buycks,placed on IL
2014-01-31,Dallas Mavericks,Ricky Ledo,,activated from IL
2014-02-01,Detroit Pistons,Chauncey Billups,,activated from IL
2014-02-01,Toronto Raptors,,Greivis Vasquez,placed on IL with illness
2014-02-01,Toronto Raptors,Dwight Buycks,,activated from IL
2014-02-01,Sacramento Kings,DeMarcus Cousins,,activated from IL
2014-02-01,Cleveland Cavaliers,Anderson Varejao,,activated from IL
2014-02-01,Detroit Pistons,,Tony Mitchell,placed on IL
2014-02-01,San Antonio Spurs,Tiago Splitter,,activated from IL
2014-02-01,New York Knicks,Amare Stoudemire,,activated from IL
2014-02-01,Phoenix Suns,Archie Goodwin,,activated from IL
2014-02-01,Sacramento Kings,,Jimmer Fredette,placed on IL with illness
2014-02-01,Milwaukee Bucks,,John Henson,placed on IL with sprained right wrist
2014-02-01,Milwaukee Bucks,Zaur Pachulia,,activated from IL
2014-02-01,Cleveland Cavaliers,,Sergey Karasev,placed on IL
2014-02-01,New York Knicks,,Iman Shumpert,placed on IL with sprained right shoulder
2014-02-01,Utah Jazz,,Jeremy Evans,placed on IL with bruised tailbone
2014-02-01,Utah Jazz,Marvin Williams,,activated from IL
2014-02-01,Memphis Grizzlies,,Mike Conley,placed on IL with sprained right ankle
2014-02-03,Los Angeles Clippers,,Byron Mullens,placed on IL
2014-02-03,Sacramento Kings,Jimmer Fredette,,activated from IL
2014-02-03,New York Knicks,,Kenyon Martin,placed on IL with ankle injury (out for season)
2014-02-03,New York Knicks,Iman Shumpert,,activated from IL
2014-02-03,Dallas Mavericks,,Ricky Ledo,placed on IL
2014-02-03,Toronto Raptors,,Austin Daye,placed on IL (P)
2014-02-03,Toronto Raptors,Greivis Vasquez,,activated from IL
2014-02-03,San Antonio Spurs,Danny Green,,activated from IL
2014-02-03,Oklahoma City Thunder,Andre Roberson,,activated from IL
2014-02-03,Washington Wizards,Glen Rice,,activated from IL
2014-02-04,Golden State Warriors,,Ognjen Kuzmic,placed on IL
2014-02-04,Philadelphia 76ers,Arnett Moultrie,,activated from IL
2014-02-04,Golden State Warriors,Jermaine ONeal,,activated from IL
2014-02-04,Los Angeles Lakers,,Xavier Henry,placed on IL with bone bruise in right knee
2014-02-04,Los Angeles Lakers,Steve Nash,,activated from IL
2014-02-05,Milwaukee Bucks,,Caron Butler,placed on IL with ankle injury
2014-02-05,Milwaukee Bucks,John Henson,,activated from IL
2014-02-05,Boston Celtics,,Vitor Faverani,placed on IL with knee injury
2014-02-05,Los Angeles Clippers,,JJ Redick,placed on IL with back injury
2014-02-05,Los Angeles Clippers,Byron Mullens,,activated from IL
2014-02-05,Dallas Mavericks,Shawn Marion,,activated from IL
2014-02-05,New Orleans Pelicans,,Jrue Holiday,placed on IL with stress fracture in right ankle/tibia (out for season)
2014-02-05,Toronto Raptors,,Dwight Buycks,placed on IL
2014-02-05,Toronto Raptors,Austin Daye,,activated from IL
2014-02-05,Phoenix Suns,,Archie Goodwin,placed on IL
2014-02-05,Minnesota Timberwolves,Robbie Hummel,,activated from IL
2014-02-05,Washington Wizards,,Glen Rice,placed on IL
2014-02-06,Golden State Warriors,Nemanja Nedovic,,activated from IL
2014-02-06,Golden State Warriors,Ognjen Kuzmic,,activated from IL
2014-02-06,Golden State Warriors,,Andrew Bogut,placed on IL with sore shoulder
2014-02-06,San Antonio Spurs,,Tony Parker,placed on IL with sore lower back
2014-02-06,Golden State Warriors,,David Lee,placed on IL with sore shoulder
2014-02-07,Portland Trailblazers,Allen Crabbe,,activated from IL
2014-02-07,Utah Jazz,,Ian Clark,placed on IL
2014-02-07,Utah Jazz,,Malcolm Thomas,placed on IL
2014-02-07,Utah Jazz,Derrick Favors,,activated from IL
2014-02-07,Utah Jazz,Jeremy Evans,,activated from IL
2014-02-07,Sacramento Kings,,Marcus Thornton,placed on IL with hip injury
2014-02-07,Sacramento Kings,,Rudy Gay,placed on IL with illness
2014-02-07,Indiana Pacers,,Orlando Johnson,placed on IL
2014-02-07,Indiana Pacers,Solomon Hill,,activated from IL
2014-02-07,Detroit Pistons,,Josh Harrellson,placed on IL
2014-02-07,Houston Rockets,Omer Asik,,activated from IL
2014-02-07,Oklahoma City Thunder,,Andre Roberson,placed on IL
2014-02-07,Minnesota Timberwolves,Corey Brewer,,activated from IL
2014-02-08,Houston Rockets,,Robert Covington,placed on IL
2014-02-08,Minnesota Timberwolves,Robbie Hummel,,activated from IL (P)
2014-02-08,San Antonio Spurs,Tony Parker,,activated from IL
2014-02-08,Minnesota Timberwolves,,Kevin Martin,placed on IL with fractured left thumb
2014-02-09,Philadelphia 76ers,,Brandon Davies,placed on IL with fractured right pinky finger
2014-02-09,Los Angeles Clippers,,Byron Mullens,placed on IL
2014-02-09,Los Angeles Clippers,Chris Paul,,activated from IL
2014-02-09,Sacramento Kings,Marcus Thornton,,activated from IL
2014-02-09,Sacramento Kings,Rudy Gay,,activated from IL
2014-02-09,Philadelphia 76ers,Arnett Moultrie,,activated from IL
2014-02-10,Houston Rockets,Robert Covington,,activated from IL
2014-02-10,Golden State Warriors,David Lee,,activated from IL
